[I 210513 14:01:26 main:117] Model name: dimenet
[I 210513 14:01:26 main:118] Model params: {'emb_size': 128, 'num_blocks': 6, 'num_bilinear': 8, 'num_spherical': 7, 'num_radial': 6, 'envelope_exponent': 5, 'cutoff': 4.0, 'num_before_skip': 1, 'num_after_skip': 2, 'num_dense_output': 3, 'targets': ['Energy']}
[I 210513 14:01:26 main:119] Train params: {'num_train': 1673, 'num_valid': 418, 'data_seed': 42, 'lr': 0.001, 'weight_decay': 0.0001, 'ema_decay': 0, 'batch_size': 10, 'epochs': 300, 'early_stopping': 20, 'num_workers': 12, 'gpu': 0, 'interval': 10, 'step_size': 30, 'gamma': 0.3}
[I 210513 14:01:26 main:127] Loading Data Set
[I 210513 14:01:32 main:139] Size of Training Set: 1673
[I 210513 14:01:32 main:140] Size of Validation Set: 418
[I 210513 14:01:32 main:141] Size of Test Set: 519
[I 210513 14:01:32 main:167] Loading Model
[I 210513 14:02:27 main:221] EMA Init
[I 210513 14:02:27 main:228] Training
[I 210513 15:19:48 main:248] Epoch 74 | Train Loss 0.0583
[I 210513 15:20:44 main:248] Epoch 75 | Train Loss 0.0635
[I 210513 15:21:38 main:248] Epoch 76 | Train Loss 0.0614
[I 210513 15:22:35 main:248] Epoch 77 | Train Loss 0.0635
[I 210513 15:23:32 main:248] Epoch 78 | Train Loss 0.0578
[I 210513 15:24:31 main:248] Epoch 79 | Train Loss 0.0634
[I 210513 15:25:37 main:236] Epoch 80 | Train Loss 0.0625 | Val MAE 0.0711
[I 210513 15:26:32 main:248] Epoch 81 | Train Loss 0.0634
[I 210513 15:27:30 main:248] Epoch 82 | Train Loss 0.0647
[I 210513 15:28:29 main:248] Epoch 83 | Train Loss 0.0587
[I 210513 15:29:27 main:248] Epoch 84 | Train Loss 0.0628
[I 210513 15:30:24 main:248] Epoch 85 | Train Loss 0.0605
[I 210513 15:31:21 main:248] Epoch 86 | Train Loss 0.0644
[I 210513 15:32:18 main:248] Epoch 87 | Train Loss 0.0588
[I 210513 15:33:16 main:248] Epoch 88 | Train Loss 0.0673
[I 210513 15:34:11 main:248] Epoch 89 | Train Loss 0.0598
[I 210513 15:35:13 main:236] Epoch 90 | Train Loss 0.0523 | Val MAE 0.0675
[I 210513 15:36:06 main:248] Epoch 91 | Train Loss 0.0516
[I 210513 15:37:03 main:248] Epoch 92 | Train Loss 0.0516
[I 210513 15:37:55 main:248] Epoch 93 | Train Loss 0.0507
[I 210513 15:38:48 main:248] Epoch 94 | Train Loss 0.0511
[I 210513 15:39:42 main:248] Epoch 95 | Train Loss 0.0511
[I 210513 15:40:37 main:248] Epoch 96 | Train Loss 0.0503
[I 210513 15:41:29 main:248] Epoch 97 | Train Loss 0.0521
[I 210513 15:42:24 main:248] Epoch 98 | Train Loss 0.0489
[I 210513 15:43:16 main:248] Epoch 99 | Train Loss 0.0510
[I 210513 15:44:17 main:236] Epoch 100 | Train Loss 0.0495 | Val MAE 0.0661
[I 210513 15:45:12 main:248] Epoch 101 | Train Loss 0.0508
[I 210513 15:46:06 main:248] Epoch 102 | Train Loss 0.0513
[I 210513 15:47:00 main:248] Epoch 103 | Train Loss 0.0492
[I 210513 15:47:56 main:248] Epoch 104 | Train Loss 0.0505
[I 210513 15:48:55 main:248] Epoch 105 | Train Loss 0.0520
[I 210513 15:49:51 main:248] Epoch 106 | Train Loss 0.0496
[I 210513 15:50:49 main:248] Epoch 107 | Train Loss 0.0487
[I 210513 15:51:48 main:248] Epoch 108 | Train Loss 0.0496
[I 210513 15:52:45 main:248] Epoch 109 | Train Loss 0.0489
[I 210513 15:53:49 main:236] Epoch 110 | Train Loss 0.0488 | Val MAE 0.0646
[I 210513 15:54:45 main:248] Epoch 111 | Train Loss 0.0487
[I 210513 15:55:41 main:248] Epoch 112 | Train Loss 0.0504
[I 210513 15:56:38 main:248] Epoch 113 | Train Loss 0.0486
[I 210513 15:57:35 main:248] Epoch 114 | Train Loss 0.0485
[I 210513 15:58:34 main:248] Epoch 115 | Train Loss 0.0510
[I 210513 15:59:30 main:248] Epoch 116 | Train Loss 0.0485
[I 210513 16:00:25 main:248] Epoch 117 | Train Loss 0.0510
[I 210513 16:01:17 main:248] Epoch 118 | Train Loss 0.0495
[I 210513 16:02:10 main:248] Epoch 119 | Train Loss 0.0498
[I 210513 16:03:14 main:236] Epoch 120 | Train Loss 0.0462 | Val MAE 0.0641
[I 210513 16:04:11 main:248] Epoch 121 | Train Loss 0.0456
[I 210513 16:05:06 main:248] Epoch 122 | Train Loss 0.0466
[I 210513 16:06:01 main:248] Epoch 123 | Train Loss 0.0468
[I 210513 16:06:56 main:248] Epoch 124 | Train Loss 0.0460
[I 210513 16:07:47 main:248] Epoch 125 | Train Loss 0.0457
[I 210513 16:08:39 main:248] Epoch 126 | Train Loss 0.0461
